freq,unit,geo,2019
A,EUR_HAB,DEA46,43100
A,EUR_HAB,DEA47,37000
A,EUR_HAB,DEA5,36000
A,EUR_HAB,DEA51,35000
A,EUR_HAB,DEA52,40800
A,EUR_HAB,DEA53,34800
A,EUR_HAB,DEA54,30500
A,EUR_HAB,DEA55,26400
A,EUR_HAB,DEA56,31200
A,EUR_HAB,DEA57,38500
A,EUR_HAB,DEA58,37200
A,EUR_HAB,DEA59,41400
A,EUR_HAB,DEA5A,41200
A,EUR_HAB,DEA5B,37200
A,EUR_HAB,DEA5C,31300
A,EUR_HAB,DEB,36000
A,EUR_HAB,DEB1,34600
A,EUR_HAB,DEB11,71500
A,EUR_HAB,DEB12,27000
A,EUR_HAB,DEB13,27800
A,EUR_HAB,DEB14,30300
A,EUR_HAB,DEB15,30200
A,EUR_HAB,DEB17,32000
A,EUR_HAB,DEB18,34000
A,EUR_HAB,DEB1A,27900
A,EUR_HAB,DEB1B,35100
A,EUR_HAB,DEB1C,32500
A,EUR_HAB,DEB1D,36700
A,EUR_HAB,DEB2,31400
A,EUR_HAB,DEB21,44500
A,EUR_HAB,DEB22,32500
A,EUR_HAB,DEB23,30000
A,EUR_HAB,DEB24,33600
A,EUR_HAB,DEB25,20800
A,EUR_HAB,DEB3,38100
A,EUR_HAB,DEB31,37000
A,EUR_HAB,DEB32,49500
A,EUR_HAB,DEB33,43400
A,EUR_HAB,DEB34,80500
A,EUR_HAB,DEB35,57500
A,EUR_HAB,DEB36,32200
A,EUR_HAB,DEB37,38700
A,EUR_HAB,DEB38,55200
A,EUR_HAB,DEB39,40600
A,EUR_HAB,DEB3A,49300
A,EUR_HAB,DEB3B,25400
A,EUR_HAB,DEB3C,22500
A,EUR_HAB,DEB3D,29000
A,EUR_HAB,DEB3E,34900
A,EUR_HAB,DEB3F,21400
A,EUR_HAB,DEB3G,18200
A,EUR_HAB,DEB3H,28100
A,EUR_HAB,DEB3I,20300
A,EUR_HAB,DEB3J,37700
A,EUR_HAB,DEB3K,16600
A,EUR_HAB,DEC,36300
A,EUR_HAB,DEC0,36300
A,EUR_HAB,DEC01,44800
A,EUR_HAB,DEC02,27700
A,EUR_HAB,DEC03,26000
A,EUR_HAB,DEC04,33100
A,EUR_HAB,DEC05,40000
A,EUR_HAB,DEC06,30900
A,EUR_HAB,DED,32000
A,EUR_HAB,DED2,32700
A,EUR_HAB,DED21,42500
A,EUR_HAB,DED2C,27700
A,EUR_HAB,DED2D,28900
A,EUR_HAB,DED2E,28700
A,EUR_HAB,DED2F,24200
A,EUR_HAB,DED4,29600
A,EUR_HAB,DED41,37700
A,EUR_HAB,DED42,24400
A,EUR_HAB,DED43,28200
A,EUR_HAB,DED44,26500
A,EUR_HAB,DED45,32200
A,EUR_HAB,DED5,34300
A,EUR_HAB,DED51,38900
A,EUR_HAB,DED52,28100
A,EUR_HAB,DED53,28800
A,EUR_HAB,DEE,29400
A,EUR_HAB,DEE0,29400
A,EUR_HAB,DEE01,30500
A,EUR_HAB,DEE02,32400
A,EUR_HAB,DEE03,36300
A,EUR_HAB,DEE04,25000
A,EUR_HAB,DEE05,31500
A,EUR_HAB,DEE06,26900
A,EUR_HAB,DEE07,30000
A,EUR_HAB,DEE08,26500
A,EUR_HAB,DEE09,25200
A,EUR_HAB,DEE0A,22100
A,EUR_HAB,DEE0B,36200
A,EUR_HAB,DEE0C,26700
A,EUR_HAB,DEE0D,27500
A,EUR_HAB,DEE0E,26000
A,EUR_HAB,DEF,34400
A,EUR_HAB,DEF0,34400
A,EUR_HAB,DEF01,44200
A,EUR_HAB,DEF02,49100
A,EUR_HAB,DEF03,45500
A,EUR_HAB,DEF04,44100
A,EUR_HAB,DEF05,34900
A,EUR_HAB,DEF06,24400
A,EUR_HAB,DEF07,37000
A,EUR_HAB,DEF08,28100
A,EUR_HAB,DEF09,30600
A,EUR_HAB,DEF0A,21600
A,EUR_HAB,DEF0B,31400
A,EUR_HAB,DEF0C,27700
A,EUR_HAB,DEF0D,33000
A,EUR_HAB,DEF0E,35600
A,EUR_HAB,DEF0F,35200
A,EUR_HAB,DEG,29900
A,EUR_HAB,DEG0,29900
A,EUR_HAB,DEG01,41600
A,EUR_HAB,DEG02,29800
A,EUR_HAB,DEG03,46000
A,EUR_HAB,DEG04,35600
A,EUR_HAB,DEG05,31300
A,EUR_HAB,DEG06,26600
A,EUR_HAB,DEG07,26900
A,EUR_HAB,DEG09,25500
A,EUR_HAB,DEG0A,23000
A,EUR_HAB,DEG0B,28500
A,EUR_HAB,DEG0C,29300
A,EUR_HAB,DEG0D,26600
A,EUR_HAB,DEG0E,23200
A,EUR_HAB,DEG0F,30300
A,EUR_HAB,DEG0G,24300
A,EUR_HAB,DEG0H,28800
A,EUR_HAB,DEG0I,27300
A,EUR_HAB,DEG0J,24100
A,EUR_HAB,DEG0K,30400
A,EUR_HAB,DEG0L,24300
A,EUR_HAB,DEG0M,22800
A,EUR_HAB,DEG0N,39100
A,EUR_HAB,DEG0P,28100
A,EUR_HAB,DK,53200
A,EUR_HAB,DK0,52700
A,EUR_HAB,DK01,68500
A,EUR_HAB,DK011,74300
A,EUR_HAB,DK012,83100
A,EUR_HAB,DK013,44100
A,EUR_HAB,DK014,37400
A,EUR_HAB,DK02,37100
A,EUR_HAB,DK021,37700
A,EUR_HAB,DK022,36800
A,EUR_HAB,DK03,47500
A,EUR_HAB,DK031,40600
A,EUR_HAB,DK032,52200
A,EUR_HAB,DK04,49000
A,EUR_HAB,DK041,51700
A,EUR_HAB,DK042,47700
A,EUR_HAB,DK05,44400
A,EUR_HAB,DK050,44400
A,EUR_HAB,EE,21100
A,EUR_HAB,EE0,21100
A,EUR_HAB,EE00,21100
A,EUR_HAB,EE001,28800
A,EUR_HAB,EE004,13400
A,EUR_HAB,EE008,16100
A,EUR_HAB,EE009,14200
A,EUR_HAB,EE00A,13600
A,EUR_HAB,EL,17100
A,EUR_HAB,EL3,23500
A,EUR_HAB,EL30,23500
A,EUR_HAB,EL301,28100
A,EUR_HAB,EL302,12200
A,EUR_HAB,EL303,33700
A,EUR_HAB,EL304,20000
A,EUR_HAB,EL305,18300
A,EUR_HAB,EL306,23500
A,EUR_HAB,EL307,20000
A,EUR_HAB,EL4,15000
A,EUR_HAB,EL41,11200
A,EUR_HAB,EL411,11200
A,EUR_HAB,EL412,11300
A,EUR_HAB,EL413,11200
A,EUR_HAB,EL42,18400
A,EUR_HAB,EL421,16200
A,EUR_HAB,EL422,22100
A,EUR_HAB,EL43,14600
A,EUR_HAB,EL431,13900
A,EUR_HAB,EL432,17400
